ERROR: system: AutoSpawner is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
<AdvancedMachines:blockAdvMachine>, §6Роторный дробитель
<Forestry:soil>, Гумус
<Forestry:solderingIron>, Паяльник
<Forestry:stairs>, Ступеньки из лиственницы
<Forestry:stairsFireproof>, Ступеньки из лиственницы (Огнестойкость)
<Forestry:stamps>, Почтовая марка (1n)
<Forestry:stump>, Потухшая свеча
<Forestry:sturdyMachine>, Прочный корпус
<Forestry:thermionicTubes>, Медная электронная лампа
<Forestry:treealyzer>, Анализатор деревьев
<Forestry:waxCapsule>, Восковая капсула
<Forestry:waxCapsuleBiomass>, Капсула биомассы
<Forestry:waxCapsuleEthanol>, Капсула этанола
<Forestry:waxCapsuleFuel>, Капсула топлива
<Forestry:waxCapsuleHoney>, Капсула мёда
<Forestry:waxCapsuleIce>, Капсула льда
<Forestry:waxCapsuleJuice>, Капсула сока
<Forestry:waxCapsuleMead>, Mead Capsule
<Forestry:waxCapsuleOil>, Капсула нефти
<Forestry:waxCapsuleSeedOil>, Капсула растительного масла
<Forestry:waxCapsuleShortMead>, Short Mead Capsule
<Forestry:waxCapsuleWater>, Капсула воды
<Forestry:waxCast>, Восковая форма
<Forestry:woodPulp>, Древесная масса
<Forestry:wrench>, Гаечный ключ
<ForgeMicroblock:microblock>, Unnamed
<ForgeMicroblock:sawDiamond>, Алмазная пила
<ForgeMicroblock:sawIron>, Железная пила
<ForgeMicroblock:sawStone>, Каменная пила
<ForgeMicroblock:stoneRod>, Каменная палка
<GalacticraftCore:item.airFan>, Вентилятор
<GalacticraftCore:item.airVent>, Вентиляционный клапан
<GalacticraftCore:item.basicItem>, Одиночный солнечный модуль
<GalacticraftCore:item.battery>, Аккумулятор
<GalacticraftCore:item.bucketFuel>, Ведро топлива
<GalacticraftCore:item.bucketOil>, Ведро нефти
<GalacticraftCore:item.buggy>, Багги
<GalacticraftCore:item.buggymat>, Колесо багги
<GalacticraftCore:item.canister>, Оловянная канистра
<GalacticraftCore:item.canvas>, Холст
<GalacticraftCore:item.cheeseCurd>, Сырок
<GalacticraftCore:item.engine>, Ракетный двигатель 1-го уровня
<GalacticraftCore:item.flag>, Флаг
<GalacticraftCore:item.fuelCanisterPartial>, Частично заполненная канистра для топлива
<GalacticraftCore:item.heavyPlating>, Сверхпрочное покрытие
<GalacticraftCore:item.infiniteBattery>, Бесконечный аккумулятор
<GalacticraftCore:item.infiniteOxygen>, Бесконечная подача кислорода
<GalacticraftCore:item.key>, Ключ от подземелья 1-го уровня
<GalacticraftCore:item.meteoricIronIngot>, Слиток метеоритного железа
<GalacticraftCore:item.meteoricIronRaw>, Необработанное метеоритное железо
<GalacticraftCore:item.noseCone>, Головной обтекатель
<GalacticraftCore:item.null>, Бросаемый метеоритный кусок
<GalacticraftCore:item.oilCanisterPartial>, Частично заполненная канистра для нефти
<GalacticraftCore:item.oilExtractor>, Портативный нефтяной экстрактор
<GalacticraftCore:item.oxygenConcentrator>, Кислородный концентратор
<GalacticraftCore:item.oxygenGear>, Кислородное оборудование
<GalacticraftCore:item.oxygenMask>, Кислородная маска
<GalacticraftCore:item.oxygenTankHeavyFull>, Большой кислородный баллон
<GalacticraftCore:item.oxygenTankLightFull>, Малый кислородный баллон
<GalacticraftCore:item.oxygenTankMedFull>, Средний кислородный баллон
<GalacticraftCore:item.parachute>, Парашют
<GalacticraftCore:item.rocketFins>, Ракетный стабилизатор
<GalacticraftCore:item.schematic>, Схема для верстака NASA
<GalacticraftCore:item.sensorGlasses>, Очки с сенсорами
<GalacticraftCore:item.sensorLens>, Сенсорные линзы
<GalacticraftCore:item.spaceship>, Ракета 1-го уровня
<GalacticraftCore:item.standardWrench>, Обычный гаечный ключ
<GalacticraftCore:item.steelPole>, Стальной шест
<GalacticraftCore:item.steel_axe>, Топор со сверхпрочным покрытием
<GalacticraftCore:item.steel_boots>, Ботинки со сверхпрочным покрытием
<GalacticraftCore:item.steel_chestplate>, Кираса со сверхпрочным покрытием
<GalacticraftCore:item.steel_helmet>, Шлем со сверхпрочным покрытием
<GalacticraftCore:item.steel_hoe>, Мотыга со сверхпрочным покрытием
<GalacticraftCore:item.steel_leggings>, Поножи со сверхпрочным покрытием
<GalacticraftCore:item.steel_pickaxe>, Кирка со сверхпрочным покрытием
<GalacticraftCore:item.steel_shovel>, Лопата со сверхпрочным покрытием
<GalacticraftCore:item.steel_sword>, Меч со сверхпрочным покрытием
<GalacticraftCore:slabGCDouble>, tile.slabGCDouble.tinSlab.name
<GalacticraftCore:slabGCHalf>, Оловянная плита
<GalacticraftCore:tile.airLockFrame>, Каркас воздушного шлюза
<GalacticraftCore:tile.airLockSeal>, Уплотнитель воздушного шлюза
<GalacticraftCore:tile.aluminumWire>, Алюминиевый провод
<GalacticraftCore:tile.arclamp>, Дуговая лампа
<GalacticraftCore:tile.breatheableAir>, tile.breatheableAir.name
<GalacticraftCore:tile.brightAir>, tile.brightAir.name
<GalacticraftCore:tile.brightBreathableAir>, tile.brightBreathableAir.name
<GalacticraftCore:tile.cargo>, Грузовой загрузчик
<GalacticraftCore:tile.cheeseBlock>, Блок сыра
<GalacticraftCore:tile.dish>, Коммуникационная тарелка
<GalacticraftCore:tile.distributor>, Распределитель кислородных пузырей
<GalacticraftCore:tile.dummyblock>, tile.dummyblock.null.name
<GalacticraftCore:tile.enclosed>, tile.enclosed.null.name
<GalacticraftCore:tile.fallenMeteor>, Упавший метеорит
<GalacticraftCore:tile.fuelLoader>, Загрузчик топлива
<GalacticraftCore:tile.gcBlockCore>, tile.gcBlockCore.null.name
<GalacticraftCore:tile.glowstoneTorch>, Факел из светящегося камня
<GalacticraftCore:tile.landingPad>, Взлётная площадка
<GalacticraftCore:tile.landingPadFull>, Взлётная площадка
<GalacticraftCore:tile.machine>, Угольный генератор
<GalacticraftCore:tile.machine2>, Электрический компрессор
<GalacticraftCore:tile.machineTiered>, Модуль «Хранилище энергии»
<GalacticraftCore:tile.moonBlock>, Медная руда
<GalacticraftCore:tile.moonBricksStairs>, Ступеньки из кирпича лунной сокровищницы
<GalacticraftCore:tile.moonStoneStairs>, Ступеньки из лунного камня
<GalacticraftCore:tile.oxygenCollector>, Кислородный сборщик
<GalacticraftCore:tile.oxygenCompressor>, Кислородный компрессор
<GalacticraftCore:tile.oxygenDetector>, Кислородный датчик
<GalacticraftCore:tile.oxygenPipe>, Кислородная труба
<GalacticraftCore:tile.parachest>, Сундук с парашютом
<GalacticraftCore:tile.refinery>, Очистительный завод
<GalacticraftCore:tile.rocketWorkbench>, Верстак NASA
<GalacticraftCore:tile.sealer>, Уплотнитель кислорода
<GalacticraftCore:tile.solar>, Основная солнечная панель
<GalacticraftCore:tile.spaceStationBase>, Основание космической станции
<GalacticraftCore:tile.spinThruster>, Вращающий двигатель
<GalacticraftCore:tile.telemetry>, Телеметрический блок
<GalacticraftCore:tile.tinStairs1>, Оловянные ступеньки
<GalacticraftCore:tile.tinStairs2>, Оловянные ступеньки
<GalacticraftCore:tile.treasureChest>, Сундук с сокровищами
<GalacticraftCore:tile.unlitTorch>, Факел
<GalacticraftCore:tile.unlitTorchLit>, Факел
<GalacticraftCore:tile.unlitTorchLit_Stone>, Каменный факел
<GalacticraftCore:tile.unlitTorch_Stone>, Каменный факел
<GalacticraftCore:tile.viewScreen>, Экран отображения
<GalacticraftCore:tile.wallGC>, Оловянная стена
<GalacticraftMars:item.atmosphericValve>, Атмосферный клапан
<GalacticraftMars:item.bucketSludge>, Ведро бактериального осадка
<GalacticraftMars:item.canisterPartialLN2>, Канистра жидкого азота
<GalacticraftMars:item.canisterPartialLOX>, Канистра жидкого кислорода
<GalacticraftMars:item.carbonFragments>, Раздробленный уголь
<GalacticraftMars:item.deshAxe>, Топор из деш
<GalacticraftMars:item.deshBoots>, Ботинки из деш
<GalacticraftMars:item.deshChestplate>, Кираса из деш
<GalacticraftMars:item.deshHelmet>, Шлем из деш
<GalacticraftMars:item.deshHoe>, Мотыга из деш
<GalacticraftMars:item.deshLeggings>, Поножи из деш
<GalacticraftMars:item.deshPick>, Кирка из деш
<GalacticraftMars:item.deshPickSlime>, Липкая кирка из деш
<GalacticraftMars:item.deshSpade>, Лопата из деш
<GalacticraftMars:item.deshSword>, Меч из деш
<GalacticraftMars:item.grapple>, Крюк
<GalacticraftMars:item.heavyNoseCone>, Прочный головной обтекатель
<GalacticraftMars:item.itemAstroMiner>, Астрономический шахтёр
<GalacticraftMars:item.itemBasicAsteroids>, Сверхпрочное покрытие
<GalacticraftMars:item.itemTier3Rocket>, Ракета 3-го уровня
<GalacticraftMars:item.key>, Ключ от подземелья 2-го уровня
<GalacticraftMars:item.methaneCanisterPartial>, Канистра для метана
<GalacticraftMars:item.null>, Необработанная деш
<GalacticraftMars:item.orionDrive>, Привод Ориона
<GalacticraftMars:item.schematic>, Схема для верстака NASA
<GalacticraftMars:item.spaceshipTier2>, Ракета 2-го уровня
<GalacticraftMars:item.thermalPadding>, Теплоустойчивый шлем
<GalacticraftMars:item.titanium_axe>, Титановый топор
<GalacticraftMars:item.titanium_boots>, Титановые ботинки
<GalacticraftMars:item.titanium_chestplate>, Титановая кираса
<GalacticraftMars:item.titanium_helmet>, Титановый шлем
<GalacticraftMars:item.titanium_hoe>, Титановая мотыга
<GalacticraftMars:item.titanium_leggings>, Титановые поножи
<GalacticraftMars:item.titanium_pickaxe>, Титановая кирка
<GalacticraftMars:item.titanium_shovel>, Титановая лопата
<GalacticraftMars:item.titanium_sword>, Титановый меч
<GalacticraftMars:tile.asteroidsBlock>, Астероидный камень
<GalacticraftMars:tile.beamReceiver>, Лучевой приёмник энергии
<GalacticraftMars:tile.beamReflector>, Лучевой отражатель энергии
<GalacticraftMars:tile.cavernVines>, Пещерные лианы
<GalacticraftMars:tile.creeperEgg>, Яйцо крипера
<GalacticraftMars:tile.denseIce>, Плотный лёд
<GalacticraftMars:tile.hydrogenPipe>, Труба для водорода
<GalacticraftMars:tile.mars>, Медная руда
<GalacticraftMars:tile.marsCobblestoneStairs>, Ступеньки из марсианского булыжника
<GalacticraftMars:tile.marsDungeonBricksStairs>, Ступеньки из кирпича марсианской сокровищницы
<GalacticraftMars:tile.marsMachine>, Терраформер
<GalacticraftMars:tile.marsMachineT2>, Сжижитель газа
<GalacticraftMars:tile.minerBase>, Основание астрономического шахтёра
<GalacticraftMars:tile.minerBaseFull>, tile.minerBaseFull.name
<GalacticraftMars:tile.slimelingEgg>, Красное яйцо слаймлинга
<GalacticraftMars:tile.sludge>, Бактериальный осадок
<GalacticraftMars:tile.telepadFake>, tile.telepadFake.name
<GalacticraftMars:tile.telepadShort>, Короткодистанционный телепорт
<GalacticraftMars:tile.treasureT2>, Сундук с сокровищами 2-го уровня
<GalacticraftMars:tile.treasureT3>, Сундук с сокровищами 3-го уровня
<GalacticraftMars:tile.walkway>, Дорожка
<GalacticraftMars:tile.walkwayOxygenPipe>, Дорожка
<GalacticraftMars:tile.walkwayWire>, Дорожка
<GraviSuite:BlockRelocatorPortal>, Портал Релокатора.name
<GraviSuite:advChainsaw>, Улучшенная электропила
<GraviSuite:advDDrill>, Улучшенный алмазный бур
<GraviSuite:advJetpack>, Улучшенный электро джетапак
<GraviSuite:advLappack>, Улучшенный лаппак
<GraviSuite:advNanoChestPlate>, Улучшенный наножилет
<GraviSuite:graviChestPlate>, Гравитационный жилет
<GraviSuite:graviTool>, Гравитул
<GraviSuite:itemSimpleItem>, Изоляция суперпроводника
<GraviSuite:relocator>, Релокатор
<GraviSuite:sonicLauncher>, Sonic Launcher
<GraviSuite:ultimateLappack>, Ультимейт лаппак
<GraviSuite:vajra>, Ваджра
<IC2:blockAlloy>, Укреплённый камень
<IC2:blockAlloyGlass>, Укреплённое стекло
<IC2:blockBarrel>, Barrel
<IC2:blockBasalt>, Базальт
<IC2:blockCable>, ic2.blockCable
<IC2:blockChargepad>, Заряжающая плита (Энергохранилище)
<IC2:blockCrop>, Жёрдочки
<IC2:blockDoorAlloy>, tile.blockDoorAlloy.name
<IC2:blockDynamite>, ic2.blockDynamite
<IC2:blockDynamiteRemote>, ic2.blockDynamiteRemote
<IC2:blockElectric>, Энергохранилище
<IC2:blockFenceIron>, Железный забор
<IC2:blockFoam>, Строительная пена
<IC2:blockGenerator>, Генератор
<IC2:blockHarz>, ic2.blockHarz
<IC2:blockHeatGenerator>, Твердотельный термогенератор
<IC2:blockITNT>, Промышленный динамит
<IC2:blockIronScaffold>, Железные леса
<IC2:blockKineticGenerator>, Кинетический ветрогенератор
<IC2:blockLuminator>, Электролампа
<IC2:blockLuminatorDark>, Электролампа
<IC2:blockMachine>, Основной корпус механизма
<IC2:blockMachine2>, Телепортер
<IC2:blockMachine3>, Парогенератор
<IC2:blockMetal>, Медный блок
<IC2:blockMiningPipe>, Буровая труба
<IC2:blockMiningTip>, Буровая труба
<IC2:blockNuke>, Ядерная бомба
<IC2:blockOreCopper>, Медная руда
<IC2:blockOreLead>, Свинцовая руда
<IC2:blockOreTin>, Оловянная руда
<IC2:blockOreUran>, Урановая руда
<IC2:blockPersonal>, Личный сейф
<IC2:blockReactorAccessHatch>, Реакторный люк
<IC2:blockReactorChamber>, Реакторная камера
<IC2:blockReactorFluidPort>, Реакторный насос
<IC2:blockReactorRedstonePort>, Реакторный проводник красного сигнала
<IC2:blockReinforcedFoam>, Укреплённая строительная пена
<IC2:blockRubLeaves>, Листва гевеи
<IC2:blockRubSapling>, Саженец гевеи
<IC2:blockRubWood>, Древесина гевеи
<IC2:blockRubber>, Резиновый лист
<IC2:blockScaffold>, Леса
<IC2:blockWall>, ic2.blockWall
<IC2:blockreactorvessel>, Реакторный корпус
<IC2:fluidBiogas>, Биогаз
<IC2:fluidBiomass>, Биомасса
<IC2:fluidConstructionFoam>, Строительная пена
<IC2:fluidCoolant>, Хладагент (IC2)
<IC2:fluidDistilledWater>, Дистиллированная вода
<IC2:fluidHotCoolant>, Горячий хладагент (IC2)
<IC2:fluidHotWater>, Hotspring Water
<IC2:fluidPahoehoeLava>, Базальтовая лава
<IC2:fluidSteam>, Пар
<IC2:fluidSuperheatedSteam>, Перегретый пар
<IC2:fluidUuMatter>, Жидкая материя
<IC2:itemAdvBat>, Продвинутый аккумулятор
<IC2:itemAdvIronBlockCuttingBlade>, Режущий диск из закалённого железа
<IC2:itemArmorAdvBatpack>, Продвинутый аккумуляторный ранец
<IC2:itemArmorAlloyChestplate>, Композитный доспех
<IC2:itemArmorBatpack>, Аккумуляторный ранец
<IC2:itemArmorBronzeBoots>, Бронзовые ботинки
<IC2:itemArmorBronzeChestplate>, Бронзовая кираса
<IC2:itemArmorBronzeHelmet>, Бронзовый шлем
<IC2:itemArmorBronzeLegs>, Бронзовые поножи
<IC2:itemArmorCFPack>, Строительный ранец
<IC2:itemArmorEnergypack>, Энергетический ранец
<IC2:itemArmorHazmatChestplate>, Защитная куртка
<IC2:itemArmorHazmatHelmet>, Шлем-акваланг
<IC2:itemArmorHazmatLeggings>, Защитные поножи
<IC2:itemArmorJetpack>, Реактивный ранец
<IC2:itemArmorJetpackElectric>, Электрический реактивный ранец
<IC2:itemArmorNanoBoots>, Нано-ботинки
<IC2:itemArmorNanoChestplate>, Нано-кираса
<IC2:itemArmorNanoHelmet>, Нано-шлем
<IC2:itemArmorNanoLegs>, Нано-поножи
<IC2:itemArmorQuantumBoots>, Квантовые ботинки
<IC2:itemArmorQuantumChestplate>, Квантовая кираса
<IC2:itemArmorQuantumHelmet>, Квантовый шлем
<IC2:itemArmorQuantumLegs>, Квантовые поножи
<IC2:itemArmorRubBoots>, Резиновые ботинки
<IC2:itemBarrel>, Пустая бочка
<IC2:itemBatChargeAdv>, Продвинутый заряжающий аккумулятор
<IC2:itemBatChargeCrystal>, Заряжающий энергетический кристалл
<IC2:itemBatChargeLamaCrystal>, Заряжающий лазуротроновый кристалл
<IC2:itemBatChargeRE>, Заряжающий аккумулятор
<IC2:itemBatCrystal>, Энергетический кристалл
<IC2:itemBatLamaCrystal>, Лазуротроновый кристалл
<IC2:itemBatRE>, Аккумулятор
<IC2:itemBatREDischarged>, Незаряженный аккумулятор
<IC2:itemBatSU>, Одноразовая батарейка
<IC2:itemBiochaff>, Отходы
<IC2:itemBoat>, Углепластиковое каноэ
<IC2:itemCable>, Изолированный медный провод
<IC2:itemCasing>, Медная оболочка
<IC2:itemCellEmpty>, Пустая капсула
<IC2:itemCellHydrant>, Увлажняющая капсула
<IC2:itemCofeeBeans>, Кофейные зёрна
<IC2:itemCofeePowder>, Молотый кофе
<IC2:itemCoin>, Промышленная монета
<IC2:itemContainmentbox>, Ящик содержания
<IC2:itemCropSeed>, Семена (Недействительно)
<IC2:itemCropnalyzer>, Анализатор агрокультур
<IC2:itemCrushedOre>, Измельчённая железная руда
<IC2:itemDebug>, Предмет отладки
<IC2:itemDensePlates>, Плотная медная пластина
<IC2:itemDiamondBlockCuttingBlade>, Алмазный режущий диск
<IC2:itemDoorAlloy>, Укреплённая дверь
<IC2:itemDust>, Бронзовая пыль
<IC2:itemDust2>, Диоксид кремния
<IC2:itemDustSmall>, Небольшая кучка железной пыли
<IC2:itemDynamite>, Динамит
<IC2:itemDynamiteSticky>, Липкий динамит
<IC2:itemFertilizer>, Удобрение
<IC2:itemFluidCell>, Универсальная жидкостная капсула
<IC2:itemFoamSprayer>, Распылитель строительной пены
<IC2:itemFreq>, Частотный связыватель
<IC2:itemFuelPlantBall>, Биомасса
<IC2:itemFuelRod>, Топливный стержень (Пустой)
<IC2:itemGrinPowder>, Токсичная пыль
<IC2:itemHarz>, Латекс
<IC2:itemHops>, Хмель
<IC2:itemIngot>, Медный слиток
<IC2:itemIronBlockCuttingBlade>, Железный режущий диск
<IC2:itemLathingTool>, Токарный инструмент
<IC2:itemMOX>, Ядерное топливо MOX
<IC2:itemMugBooze>, Zero
<IC2:itemMugCoffee>, Холодный кофе
<IC2:itemMugEmpty>, Каменная кружка
<IC2:itemNanoSaber>, Нано-сабля
<IC2:itemNightvisionGoggles>, Прибор ночного видения
<IC2:itemOreIridium>, Иридиевая руда
<IC2:itemPartAlloy>, Композит
<IC2:itemPartCFPowder>, Сжатая строительная пена
<IC2:itemPartCarbonFibre>, Углеволокно
<IC2:itemPartCarbonMesh>, Углеткань
<IC2:itemPartCarbonPlate>, Углепластик
<IC2:itemPartCircuit>, Электросхема
<IC2:itemPartCircuitAdv>, Продвинутая электросхема
<IC2:itemPartCoalBall>, Угольный шарик
<IC2:itemPartCoalBlock>, Сжатый угольный шарик
<IC2:itemPartCoalChunk>, Куб сжатого угля
<IC2:itemPartIndustrialDiamond>, Промышленный алмаз
<IC2:itemPartIridium>, Укреплённая иридиевая пластина
<IC2:itemPlates>, Медная пластина
<IC2:itemPlutonium>, Плутоний
<IC2:itemPlutoniumSmall>, Кусочек плутония
<IC2:itemPurifiedCrushedOre>, Очищенная измельчённая железная руда
<IC2:itemRTGPellet>, Пеллета РИТЭГ-топлива
<IC2:itemRecipePart>, Катушка
<IC2:itemRemote>, Детонатор
<IC2:itemRubber>, Резина
<IC2:itemScanner>, КР сканер
<IC2:itemScannerAdv>, ЦР сканер
<IC2:itemScrap>, Утильсырьё
<IC2:itemScrapbox>, Коробка с утильсырьём
<IC2:itemShardIridium>, Iridium Shard
<IC2:itemSlag>, Шлак
<IC2:itemSolarHelmet>, Шлем с солнечной батареей
<IC2:itemStaticBoots>, Электростатические ботинки
<IC2:itemSteamTurbine>, Паровая турбина
<IC2:itemSteamTurbineBlade>, Лопасть паровой турбины
<IC2:itemTFBP>, Террачип
<IC2:itemTFBPChilling>, Террачип «Охлаждение»
<IC2:itemTFBPCultivation>, Террачип «Озеленение»
<IC2:itemTFBPDesertification>, Террачип «Опустынивание»
<IC2:itemTFBPFlatification>, Террачип «Выравнивание»
<IC2:itemTFBPIrrigation>, Террачип «Орошение»
<IC2:itemTFBPMushroom>, Террачип «Грибы»
<IC2:itemTerraWart>, Земляной нарост
<IC2:itemTinCan>, Консервная банка
<IC2:itemTinCanFilled>, Заполненная консервная банка
<IC2:itemToolBronzeAxe>, Бронзовый топор
<IC2:itemToolBronzeHoe>, Бронзовая мотыга
<IC2:itemToolBronzePickaxe>, Бронзовая кирка
<IC2:itemToolBronzeSpade>, Бронзовая лопата
<IC2:itemToolBronzeSword>, Бронзовый меч
<IC2:itemToolChainsaw>, Электропила
<IC2:itemToolCutter>, Кусачки
<IC2:itemToolDDrill>, Алмазный бур
<IC2:itemToolDrill>, Шахтёрский бур
<IC2:itemToolForgeHammer>, Кузнечный молот
<IC2:itemToolHoe>, Электромотыга
<IC2:itemToolIridiumDrill>, Иридиевый бур
<IC2:itemToolMEter>, Ваттметр
<IC2:itemToolMiningLaser>, Шахтёрский лазер
<IC2:itemToolPainter>, Валик
<IC2:itemToolPainterBlack>, Чёрный валик
<IC2:itemToolPainterBlue>, Синий валик
<IC2:itemToolPainterBrown>, Коричневый валик
<IC2:itemToolPainterCloud>, Ярко-синий валик
<IC2:itemToolPainterCyan>, Бирюзовый валик
<IC2:itemToolPainterDarkGrey>, Тёмно-серый валик
<IC2:itemToolPainterGreen>, Зелёный валик
<IC2:itemToolPainterLightGrey>, Светло-серый валик
<IC2:itemToolPainterLime>, Лаймовый валик
<IC2:itemToolPainterMagenta>, Сиреневый валик
<IC2:itemToolPainterOrange>, Оранжевый валик
<IC2:itemToolPainterPink>, Розовый валик
<IC2:itemToolPainterPurple>, Фиолетовый валик
<IC2:itemToolPainterRed>, Красный валик
<IC2:itemToolPainterWhite>, Белый валик
<IC2:itemToolPainterYellow>, Жёлтый валик
<IC2:itemToolWrench>, Гаечный ключ
<IC2:itemToolWrenchElectric>, Электроключ
<IC2:itemToolbox>, Ящик для инструментов
<IC2:itemTreetap>, Краник
<IC2:itemTreetapElectric>, Электрокраник
<IC2:itemTritiumCell>, Топливный стержень (Тритий)
<IC2:itemTurningBlanks>, Железная токарная форма
<IC2:itemTurningBlanksWood>, Деревянная токарная форма
<IC2:itemUran>, Обогащённое урановое ядерное топливо
<IC2:itemUran235>, Уран-235
<IC2:itemUran235small>, Кусочек урана-235
<IC2:itemUran238>, Уран-238
<IC2:itemWeed>, Сорняк
<IC2:itemWeedEx>, Средство от сорняков
<IC2:itemWeedingTrowel>, Совок для прополки
<IC2:itemcrystalmemory>, Кристалл памяти
<IC2:itemironrotor>, Железный ротор ветрогенератора
<IC2:itemsteelrotor>, Стальной ротор ветрогенератора
<IC2:itemupgradekit>, Набор улучшения МФСУ
<IC2:itemwcarbonrotor>, Углеволоконный ротор ветрогенератора
<IC2:itemwoodrotor>, Деревянный ротор ветрогенератора
<IC2:obscurator>, Хамелеон
<IC2:plasmaLauncher>, ic2.plasmaLauncher
<IC2:reactorCondensator>, Красный конденсатор
<IC2:reactorCondensatorLap>, Лазуритовый конденсатор
<IC2:reactorCoolantSimple>, Охлаждающий стержень 10к
<IC2:reactorCoolantSix>, Охлаждающий стержень 60к
<IC2:reactorCoolantTriple>, Охлаждающий стержень 30к
<IC2:reactorHeatSwitch>, Теплообменник
<IC2:reactorHeatSwitchCore>, Реакторный теплообменник
<IC2:reactorHeatSwitchDiamond>, Продвинутый теплообменник
<IC2:reactorHeatSwitchSpread>, Компонентный теплообменник
<IC2:reactorLithiumCell>, Топливный стержень (Литий)
<IC2:reactorMOXDual>, Сдвоенный топливный стержень (MOX)
<IC2:reactorMOXDualdepleted>, Сдвоенный топливный стержень (Обеднённый MOX)
<IC2:reactorMOXQuad>, Счетверённый топливный стержень (MOX)
<IC2:reactorMOXQuaddepleted>, Счетверённый топливный стержень (Обеднённый MOX)
<IC2:reactorMOXSimple>, Топливный стержень (MOX)
<IC2:reactorMOXSimpledepleted>, Топливный стержень (Обеднённый MOX)
<IC2:reactorPlating>, Реакторная обшивка
<IC2:reactorPlatingExplosive>, Сдерживающая реакторная пластина
<IC2:reactorPlatingHeat>, Теплоёмкая реакторная пластина
<IC2:reactorReflector>, Отражатель нейтронов
<IC2:reactorReflectorThick>, Утолщённый отражатель нейтронов
<IC2:reactorUraniumDual>, Сдвоенный топливный стержень (Уран)
<IC2:reactorUraniumDualdepleted>, Сдвоенный топливный стержень (Обеднённый уран)
<IC2:reactorUraniumQuad>, Счетверённый топливный стержень (Уран)
<IC2:reactorUraniumQuaddepleted>, Счетверённый топливный стержень (Обеднённый уран)
<IC2:reactorUraniumSimple>, Топливный стержень (Уран)
<IC2:reactorUraniumSimpledepleted>, Топливный стержень (Обеднённый уран)
<IC2:reactorVent>, Теплоотвод
<IC2:reactorVentCore>, Реакторный теплоотвод
<IC2:reactorVentDiamond>, Улучшенный теплоотвод
<IC2:reactorVentGold>, Разогнанный теплоотвод
<IC2:reactorVentSpread>, Компонентный теплоотвод
<IC2:upgradeModule>, Улучшение «Ускоритель»
<IC2:windmeter>, Ветромер
<IC2NuclearControl:CardAppeng>, Карта для Applied Energistics
<IC2NuclearControl:Item55ReactorCard>, Карта-датчик расположения 5x5 реактора
<IC2NuclearControl:ItemEnergyArrayLocationCard>, Карта-датчик расположения массива с энергией
<IC2NuclearControl:ItemEnergySensorKit>, Набор для энергетического хранилища
<IC2NuclearControl:ItemEnergySensorLocationCard>, Карта-датчик расположения энергии
<IC2NuclearControl:ItemInventoryScannerCard>, Карта-датчик для инвентаря
<IC2NuclearControl:ItemLiquidArrayLocationCard>, Карта-датчик расположения массива жидкости
<IC2NuclearControl:ItemMultipleSensorKit>, Набор для счётчика энергии
<IC2NuclearControl:ItemMultipleSensorLocationCard>, Карта-датчик расположения счётчика
<IC2NuclearControl:ItemRemoteSensorKit>, Набор с дистанционным датчиком
<IC2NuclearControl:ItemSensorLocationCard>, Карта-датчик расположения реактора
<IC2NuclearControl:ItemTextCard>, Текстовая карта
<IC2NuclearControl:ItemTimeCard>, Карта со временем
<IC2NuclearControl:ItemToolDigitalThermometer>, Цифровой термометр
<IC2NuclearControl:ItemToolThermometer>, Термометр
<IC2NuclearControl:ItemUpgrade>, Улучшение «Усиление сигнала»
<IC2NuclearControl:ItemVanillaMachineCard>, Карта-датчик 'ванильных' механизмов
<IC2NuclearControl:ItemVanilliaKit>, Набор с датчиком для 'ванили'
<IC2NuclearControl:KitAppeng>, Набор с датчиком для Applied Energistics
<IC2NuclearControl:NC-BRinfoFetch>, Реакторный монитор
<IC2NuclearControl:NC-BRreactorCard>, Карта-датчик расположения RF-реактора
<IC2NuclearControl:NC-BRrfsensorKit>, Набор для дистанционного RF-реактора
<IC2NuclearControl:RFSensorCard>, Карта-датчик расположения RF энергии
<IC2NuclearControl:blockNuclearControlLight>, Белый светильник
<IC2NuclearControl:blockNuclearControlMain>, Датчик температуры
<IC2NuclearControl:networkLink>, Монитор ME-сети
<IC2NuclearControl:remoteMonitor>, Переносная информационная панель
<ImmersiveEngineering:blueprint>, Чертёж инженера
<ImmersiveEngineering:bullet>, Пустой патрон
<ImmersiveEngineering:chemthrower>, Chemical Thrower
<ImmersiveEngineering:clothDevice>, Balloon
<ImmersiveEngineering:coil>, Катушка медного провода
<ImmersiveEngineering:concreteStairs>, Concrete Stairs
<ImmersiveEngineering:concreteTileStairs>, Concrete Tile Stairs
<ImmersiveEngineering:drill>, Бур
<ImmersiveEngineering:drillhead>, Стальной шнек бура
<ImmersiveEngineering:fakeIcon>, item.ImmersiveEngineering.fakeIcon.birthday.name
<ImmersiveEngineering:fakeLight>, tile.ImmersiveEngineering.fakeLight.name
<ImmersiveEngineering:fluidContainers>, Бутылка креозота
<ImmersiveEngineering:graphiteElectrode>, Графитовый электрод
<ImmersiveEngineering:hemp>, Промышленная конопля
<ImmersiveEngineering:jerrycan>, Jerrycan
<ImmersiveEngineering:material>, Обработанная палка
